Meridian Walnuts WS,Irrigation Zone 28"-48",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Dwyer Pressure Sensor 0-100,Pressure Switch - Calculated
12/31/2019 12:00:00 AM,215.63,70.08,59.69,77.03,68.03,70.57,75.79,0.05,0
12/30/2019 12:00:00 AM,215.52,70.87,60.62,77.08,67.92,70.52,75.7,0.05,0
12/29/2019 12:00:00 AM,215.28,70.85,60.32,76.75,67.96,70.57,75.68,0.07,0
12/28/2019 12:00:00 AM,214.87,69.28,59.01,76.41,67.83,70.63,75.69,0.08,0
12/27/2019 12:00:00 AM,215.19,69.45,59.14,76.53,67.92,70.74,75.86,0.06,0
12/26/2019 12:00:00 AM,215.64,69.65,59.27,76.67,68.06,70.91,76.18,0.05,0
12/25/2019 12:00:00 AM,216.22,69.78,59.41,76.87,68.25,71.1,76.49,0.07,0
12/24/2019 12:00:00 AM,216.95,70.02,59.66,77.13,68.49,71.32,76.57,0.09,0
12/23/2019 12:00:00 AM,218.64,70.7,60.16,77.74,69.08,71.83,76.61,0.08,0
12/22/2019 12:00:00 AM,220.15,72.15,61.92,78.61,69.56,71.97,76.12,0.09,0
12/21/2019 12:00:00 AM,215.75,70.07,59.62,77.01,68.22,70.52,74.97,0.08,0
12/20/2019 12:00:00 AM,215.94,70.33,59.87,77.23,68.28,70.43,74.84,0.1,0
12/19/2019 12:00:00 AM,215.5,71.28,60.89,77.13,68.02,70.35,74.79,0.11,0
12/18/2019 12:00:00 AM,215.13,71.64,60.11,76.67,68.02,70.44,74.89,0.14,0
12/17/2019 12:00:00 AM,215.37,69.49,59.31,76.79,68.08,70.49,74.9,0.14,0
12/16/2019 12:00:00 AM,215.66,69.81,59.52,76.93,68.17,70.56,74.93,0.15,0
12/15/2019 12:00:00 AM,216.03,70.24,59.77,77.07,68.27,70.69,75.07,0.17,0
12/14/2019 12:00:00 AM,216.53,70.76,59.99,77.22,68.43,70.88,75.29,0.18,0
12/13/2019 12:00:00 AM,217.4,71,60.13,77.49,68.76,71.15,75.5,0.18,0
12/12/2019 12:00:00 AM,218.18,71.87,61.22,78.23,69.05,70.9,75.17,0.17,0
12/11/2019 12:00:00 AM,215.88,72.78,61.85,77.13,68.18,70.56,74.94,0.16,0
12/10/2019 12:00:00 AM,215.95,70.68,59.94,76.97,68.24,70.73,75.13,0.17,0
12/9/2019 12:00:00 AM,216.68,70.32,59.8,77.18,68.45,71.04,75.43,0.14,0
12/8/2019 12:00:00 AM,218.42,71.03,60.29,77.71,68.98,71.73,76.11,0.12,0
12/7/2019 12:00:00 AM,220.65,73.16,62.61,79.21,69.64,71.8,76.27,0.11,0
12/6/2019 12:00:00 AM,215.55,70.79,59.88,76.98,68.04,70.53,74.89,0.1,0
12/5/2019 12:00:00 AM,215.49,70.57,59.5,76.78,68.06,70.65,75.04,0.08,0
12/4/2019 12:00:00 AM,216.06,70.9,59.22,76.81,68.24,71,75.41,0.09,0
12/3/2019 12:00:00 AM,217.74,69.67,59.28,77.35,68.78,71.61,75.94,0.1,0
12/2/2019 12:00:00 AM,223.5,72.08,61.8,79.61,70.38,73.51,79.16,0.07,0
12/1/2019 12:00:00 AM,223.32,74.22,64.26,80.78,70.05,72.5,76.01,0.06,0
11/30/2019 12:00:00 AM,201.1,69.36,59.12,72.88,62.9,65.32,71.89,0.07,0
11/29/2019 12:00:00 AM,200.48,68.43,58.12,72.18,62.94,65.36,71.91,0.06,0
11/28/2019 12:00:00 AM,200.67,68.83,58.42,72.27,63,65.4,71.93,0.07,0
11/27/2019 12:00:00 AM,200.84,69.65,59.33,72.36,63.04,65.44,71.95,0.06,0
11/26/2019 12:00:00 AM,200.92,68.35,58.13,72.38,63.08,65.47,71.97,0.06,0
11/25/2019 12:00:00 AM,200.99,67.23,57.06,72.41,63.09,65.49,71.97,0.06,0
11/24/2019 12:00:00 AM,201.08,67.41,57.17,72.46,63.12,65.5,71.99,0.1,0
11/23/2019 12:00:00 AM,201.15,67.54,57.26,72.5,63.14,65.52,72,0.13,0
11/22/2019 12:00:00 AM,201.21,67.67,57.36,72.53,63.15,65.53,72.02,0.11,0
11/21/2019 12:00:00 AM,201.24,67.84,57.48,72.56,63.15,65.53,72.03,0.11,0
11/20/2019 12:00:00 AM,201.25,68.07,57.6,72.57,63.15,65.53,72.04,0.09,0
11/19/2019 12:00:00 AM,201.27,68.26,57.66,72.57,63.16,65.54,72.04,0.09,0
11/18/2019 12:00:00 AM,201.29,68.32,57.71,72.58,63.17,65.54,72.05,0.1,0
11/17/2019 12:00:00 AM,201.3,68.44,57.78,72.59,63.18,65.54,72.06,0.09,0
11/16/2019 12:00:00 AM,201.32,68.67,57.9,72.6,63.18,65.54,72.06,0.05,0
11/15/2019 12:00:00 AM,201.34,69.05,58.08,72.6,63.19,65.54,72.06,0.07,0
11/14/2019 12:00:00 AM,201.35,69.89,58.65,72.61,63.21,65.54,72.06,0.07,0
11/13/2019 12:00:00 AM,201.44,72.1,60.41,72.64,63.25,65.54,72.08,26.72,0.612
